BY4741_24	BY4741_37	Elo1_24	Elo1_37	Elo2_24	Elo2_37	Elo3_24	Elo3_37
TAG 14:0/16:0/16:1	0.1653	0.0066	0.2216	0.04573	0.123	0.014784	0.0628	0.041607
TAG 14:0/16:0/18:1	0.0423	0.0105	0.0696	0.0279	0.0537	0.011322	0.017	0.017521
TAG 14:0/16:1/16:1	0.1902	NA	0.323	0.03271	0.1146	0.002662	0.1428	0.02587
TAG 14:0/16:1/18:1	0.0824	0.0124	0.1583	0.03762	0.0856	0.015488	0.0444	0.025466
TAG 14:0/16:1/22:0	NA	NA	NA	NA	NA	NA	0.0089	0.009548
TAG 14:0/16:1/26:0	0.0169	NA	NA	0.00167	NA	NA	NA	NA
TAG 14:0/18:0/18:1	0.0385	0.0274	0.0539	0.02479	0.0553	0.03138	0.0118	0.016162
TAG 14:0/18:1/20:0	0.0044	NA	0.0025	NA	NA	NA	0.0037	0.010833
TAG 14:0/18:1/22:0	NA	NA	0.002	NA	NA	NA	0.0144	0.03864
TAG 14:1/16:1/16:1	0.0173	NA	0.0672	NA	0.0022	NA	0.0377	NA
TAG 14:1/16:1/18:1	0.0151	NA	0.0503	0.00182	0.0166	NA	0.0191	NA
TAG 14:1/16:1/22:0	NA	NA	NA	NA	NA	NA	0.0065	NA
TAG 16:0/16:0/16:0	NA	NA	0.0022	NA	0.0012	NA	NA	NA
TAG 16:0/16:0/16:1	0.2911	0.1355	0.2585	0.07592	0.2065	0.121121	0.0625	0.127108
TAG 16:0/16:1/16:1	0.7949	0.2301	0.8395	0.14301	0.4883	0.199691	0.2448	0.297592
TAG 16:0/16:1/18:0	0.2303	0.1551	0.2195	0.07912	0.236	0.16287	0.0428	0.09159
TAG 16:0/16:1/18:1	0.3436	0.1681	0.4677	0.10605	0.3899	0.190204	0.0835	0.117285
TAG 16:0/16:1/22:0	0.0087	NA	0.0089	NA	NA	NA	0.0194	0.063898
TAG 16:0/16:1/24:0	0.0112	0.0056	NA	NA	NA	NA	NA	NA
TAG 16:0/16:1/26:0	0.0401	0.0257	0.0366	0.02625	NA	0.001865	NA	NA
TAG 16:0/18:0/18:1	0.063	0.0916	0.042	0.04225	0.1079	0.081154	0.0154	0.030662
TAG 16:0/18:1/18:1	0.121	0.0854	0.2236	0.05164	0.2539	0.118102	0.0304	0.037296
TAG 16:0/18:1/20:0	0.002	NA	0.002	NA	NA	NA	NA	0.008033
TAG 16:0/18:1/22:0	NA	NA	NA	NA	NA	NA	0.0054	0.044521
TAG 16:0/18:1/24:0	0.0095	0.0032	0.0034	NA	NA	NA	NA	NA
TAG 16:0/18:1/26:0	0.032	0.0365	0.0139	0.01876	NA	NA	NA	NA
TAG 16:1/16:1/16:1	0.6079	0.0838	1.0203	0.05726	0.3454	0.108048	0.3379	0.220083
TAG 16:1/16:1/18:0	0.4207	0.17	0.519	0.10967	0.4433	0.173993	0.1019	0.12592
TAG 16:1/16:1/18:1	0.6209	0.1461	1.3428	0.12298	0.6785	0.210566	0.2695	0.191456
TAG 16:1/16:1/20:0	0.0072	NA	0.01	NA	NA	NA	0.0071	0.013133
TAG 16:1/16:1/22:0	0.0152	0.006	0.0219	0.00452	NA	NA	0.1063	0.072594
TAG 16:1/16:1/24:0	0.0181	NA	0.0034	0.00091	NA	NA	0.0193	0.027022
TAG 16:1/16:1/26:0	0.0752	0.0552	0.0456	0.03596	NA	NA	NA	NA
TAG 16:1/18:0/18:0	0.0702	0.0772	0.0417	0.04002	0.103	0.069052	0.023	0.035402
TAG 16:1/18:0/18:1	0.171	0.1109	0.2541	0.07888	0.2961	0.134289	0.0513	0.060474
TAG 16:1/18:1/18:1	0.1737	0.048	0.5102	0.0481	0.4178	0.10405	0.0633	0.023324
